SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1531 W Fry St #3,Chicago,IL,60642,524900,2,2.0,West Town,1250,,2007,2,420,138,Active,February-23-2020 11:00 AM,February-23-2020 01:00 PM,http://www.redfin.com/IL/Chicago/1531-W-Fry-St-60642/unit-3/home/26812454,MRED,10641032,N,Y,41.8967115,-87.6660957
MLS Listing,,Single Family Residential,4509 N Drake Ave,Chicago,IL,60625,599900,4,3.5,Albany Park,3700,,2007,2,162,,Active,February-23-2020 02:00 PM,February-23-2020 04:00 PM,http://www.redfin.com/IL/Chicago/4509-N-Drake-Ave-60625/home/26805219,MRED,10626421,N,Y,41.963241,-87.7165913
MLS Listing,,Condo/Co-op,1511 W Walton St #1,Chicago,IL,60642,589000,3,3.0,West Town,2398,,2007,3,246,251,Active,February-23-2020 12:00 PM,February-23-2020 02:00 PM,http://www.redfin.com/IL/Chicago/1511-W-Walton-St-60642/unit-1/home/26812431,MRED,10640029,N,Y,41.89858,-87.6653342
MLS Listing,,Single Family Residential,3944 Fargo Ave,Skokie,IL,60076,609900,5,4.0,Skokie,2524,5084,2010,4,242,,Active,February-23-2020 01:00 PM,February-23-2020 03:00 PM,http://www.redfin.com/IL/Skokie/3944-Fargo-Ave-60076/home/13601445,MRED,10632829,N,Y,42.016512,-87.7280549
MLS Listing,,Condo/Co-op,1316 W Fletcher St Unit 2E,Chicago,IL,60657,450000,2,2.0,Lake View,1400,,1998,9,321,213,Active,,,http://www.redfin.com/IL/Chicago/1316-W-Fletcher-St-60657/unit-2E/home/145035398,MRED,10636162,N,Y,41.9391245,-87.6619276
MLS Listing,,Townhouse,556 E 32nd St Unit B,Chicago,IL,60616,404999,3,3.0,Douglas,1777,1250,1999,12,228,181,Active,,,http://www.redfin.com/IL/Chicago/556-E-32nd-St-60616/unit-B/home/12815304,MRED,10633545,N,Y,41.836369,-87.6112682
MLS Listing,,Condo/Co-op,3630 N Magnolia Ave #2,Chicago,IL,60613,559000,2,2.0,Lake View,1528,,2003,16,366,150,Active,,,http://www.redfin.com/IL/Chicago/3630-N-Magnolia-Ave-60613/unit-2/home/12651995,MRED,10622650,N,Y,41.9480723,-87.6607492
MLS Listing,,Townhouse,2455 W Ohio St Unit 17W,Chicago,IL,60612,495000,2,2.5,West Town,2300,,1999,16,215,216,Active,,,http://www.redfin.com/IL/Chicago/2455-W-Ohio-St-60612/unit-17W/home/40378148,MRED,10625874,N,Y,41.8915433,-87.6885826
MLS Listing,,Townhouse,2344 W WOLFRAM St Unit D,Chicago,IL,60618,491000,3,3.0,Logan Square,2000,780,2002,22,246,250,Active,,,http://www.redfin.com/IL/Chicago/2344-W-Wolfram-St-60618/unit-D/home/12673016,MRED,10620054,N,Y,41.933473,-87.686938
Redfin Data,,Townhouse,3424 N Seminary Ave,Chicago,IL,60657,574900,2,2.5,Chicago,1730,,1992,12,332,,Pre On-Market,,,http://www.redfin.com/IL/Chicago/3424-N-Seminary-Ave-60657/home/13382131,Coming Soon,49908,N,Y,41.944308,-87.656914
