ADDRESS,PHONE,LONGITUDE,LATITUDE,POSTAL
"3000 Kirchoff Rd, Rolling Meadows, Illinois, 60008",(847) 398-2060,-88.01782999999995,42.07874000000004,
"122 N Vail Ave, Arlington Heights, Illinois, 60005",(847) 398-1430,-87.98516991892225,42.084309963356326,
"440 E Rand Rd, Arlington Heights, Illinois, 60004",(847) 255-8735,-87.97695999999996,42.111470000000054,
"1860 S Arlington Heights Rd, Arlington Heights, Illinois, 60005",(847) 593-1730,-87.98343999999997,42.05221000000006,
"45 S Plum Grove Rd, Palatine, Illinois, 60067",(847) 991-1888,-88.0431699816781,42.10920993060775,
"20 Biesterfield Rd, Elk Grove Village, Illinois, 60007",(847) 593-1112,-88.00489999999996,42.00502000000006,
"819 S Elmhurst Rd, Des Plaines, Illinois, 60016",(847) 956-1220,-87.93940999999995,42.036550000000034,
"333 E Euclid Ave, Mount Prospect, Illinois, 60056",(847) 394-9390,-87.93146994892953,42.087100011108575,
"343 Irving Park Rd, Wood Dale, Illinois, 60191",(630) 773-4326,-87.99126995224773,41.96679996667455,
"1500 Lee St, Des Plaines, Illinois, 60018",(847) 296-7786,-87.89529999999996,42.02562000000006,
"481 Busse Hwy, Park Ridge, Illinois, 60068",(847) 696-0824,-87.83971999610483,42.01594007660571,
"2775 Pfingsten Rd, Glenview, Illinois, 60026",(847) 564-8550,-87.8462000311611,42.10472998889158,
"8730 W Dempster St, Niles, Illinois, 60714",(847) 298-6352,-87.84368999999998,42.04075000000006,
"7342 W Foster Ave, Chicago, Illinois, 60656",(773) 775-6866,-87.81052999999997,41.97502000000003,
"4734 N Cumberland Ave, Chicago, Illinois, 60656",(773) 625-2055,-87.83753999999999,41.96580000000006,
"7900 N Milwaukee Ave, Niles, Illinois, 60714",(847) 965-3925,-87.81406998326557,42.024829918922336,
"1127 S York Rd, Bensenville, Illinois, 60106",(630) 238-0170,-87.93821999999994,41.932690000000036,
"16 S Waukegan Rd, Deerfield, Illinois, 60015",(847) 498-2958,-87.83655999999996,42.15179000000006,
"1340 Patriot Blvd, Glenview, Illinois, 60026",(847) 657-9130,-87.81888999999995,42.078500000000076,
"2502 Waukegan Rd, Glenview, Illinois, 60025",(847) 486-0864,-87.80053999999996,42.099410000000034,
"5667 W Touhy Ave, Niles, Illinois, 60714",(847) 647-6880,-87.76851999999997,42.01102000000003,
"1600 Deerfield Rd, Highland Park, Illinois, 60035",(847) 579-0872,-87.82201998052426,42.177280051070504,
"411 Green Bay Rd, Wilmette, Illinois, 60091",(847) 256-7420,-87.70637999999997,42.073030000000074,
"1517 Sheridan Rd, Wilmette, Illinois, 60091",(847) 512-0301,-87.70130999999998,42.087780000000066,
"1763 W Howard St, Chicago, Illinois, 60626",(773) 274-1287,-87.67466999999994,42.01787000000007,
"1128 Chicago Ave, Evanston, Illinois, 60202",(847) 869-7950,-87.68045999999998,42.03941000000003,
"2485 Howard St, Evanston, Illinois, 60202",(847) 328-9791,-87.70833999999996,42.020650000000046,
"9449 Skokie Blvd, Skokie, Illinois, 60077",(847) 677-3331,-87.74444999999997,42.052580000000034,
"423 E Dundee Rd, Palatine, Illinois, 60074",(847) 991-4545,-88.03299999999996,42.138270000000034,
"79 McHenry Rd, Buffalo Grove, Illinois, 60089",(847) 459-3070,-87.95812996104854,42.15526004053892,
"1069 N Roselle Rd, Hoffman Estates, Illinois, 60169",(847) 882-3210,-88.07817996277932,42.04754000057699,
"800 W North Ave, Melrose Park, Illinois, 60160",(708) 547-7974,-87.84336999999994,41.90723000000003,
"217 E Irving Park Rd, Streamwood, Illinois, 60107",(630) 837-6015,-88.17810999999995,42.01159000000007,
"2501 W Schaumburg Rd, Schaumburg, Illinois, 60194",(847) 524-8960,-88.14366998326554,42.02326997778304,
"7036 Roosevelt Rd, Oak Park, Illinois, 60304",(708) 524-9660,-87.80018005222422,41.8653199233944,
"10203 Grand Ave, Franklin Park, Illinois, 60131",(847) 455-7711,-87.88085999999998,41.92946000000006,
"750 W Army Trail Rd, Carol Stream, Illinois, 60188",(630) 289-3700,-88.14661999999998,41.93956000000003,
"2164 Bloomingdale Rd, Glendale Heights, Illinois, 60139",(630) 893-2770,-88.08174999610483,41.938370016157556,
"125 E Stearns Rd, Bartlett, Illinois, 60103",(630) 540-0856,-88.18281999999994,41.971670000000074,
"507 E Woodlawn Ave, La Grange Park, Illinois, 60526",(708) 354-4643,-87.86855999999995,41.82403000000005,
"2128 S Mannheim Rd, Westchester, Illinois, 60154",(708) 531-9560,-87.88268999999997,41.849560000000054,
"7523 Lake St, River Forest, Illinois, 60305",(708) 771-0044,-87.81293999999997,41.88813000000005,
"1151 S Roselle Rd, Schaumburg, Illinois, 60193",(847) 891-8388,-88.07842999999997,42.00661000000008,
"1485 Palatine Rd, Hoffman Estates, Illinois, 60192",(847) 202-0586,-88.11606999999998,42.109480000000076,
"150 W Main St, Barrington, Illinois, 60010",(847) 381-4525,-88.1379200416927,42.15491991834542,
"485 Ela Rd, Lake Zurich, Illinois, 60047",(847) 438-7300,-88.10314999999997,42.189140000000066,
"345 S Rand Rd, Lake Zurich, Illinois, 60047",(847) 438-2720,-88.11001003664369,42.19152004053889,
"800 Northwest Hwy, Fox River Grove, Illinois, 60021",(847) 516-4315,-88.21019998167812,42.19501003664377,
"438 Madison St, Oak Park, Illinois, 60302",(708) 383-7111,-87.78677999999996,41.88012000000003,
"7122 Harlem Ave, Berwyn, Illinois, 60402",(708) 484-8421,-87.80152999999996,41.82029000000006,
"7201 W 24th St, Riverside, Illinois, 60546",(708) 442-9151,-87.80443999999994,41.847660000000076,
"11730 S Marshfield Ave, Chicago, Illinois, 60643",,-87.66410999999994,41.68028000000004,
"12001 S Pulaski Rd, Alsip, Illinois, 60803",(708) 371-3460,-87.71827999999994,41.67412000000007,
"3243 W 115th St, Alsip, Illinois, 60803",(708) 389-9001,-87.70237999999995,41.683370000000025,
"17705 Halsted St, Homewood, Illinois, 60430",(708) 957-1810,-87.63431999999995,41.56792000000007,
"3220 Chicago Rd, Chicago Heights, Illinois, 60411",(708) 755-7372,-87.63861995441209,41.47934992671262,
"763 E 162nd St, South Holland, Illinois, 60473",(708) 596-1960,-87.59832995224772,41.60014000000007,
"3153 183rd St, Homewood, Illinois, 60430",(708) 957-5372,-87.69303999999994,41.55691000000007,
"5616 W 159th St, Oak Forest, Illinois, 60452",(708) 614-6700,-87.75798995599959,41.60393996494381,
"1202 State St, Lemont, Illinois, 60439",(630) 243-1925,-88.00124999999997,41.65576000000004,
"14200 S Bell Rd, Homer Glen, Illinois, 60491",(708) 301-0984,-87.93246006996917,41.63039005554257,
"16625 W 159th St, Lockport, Illinois, 60441",(815) 834-9516,-88.02506999999997,41.596310000000074,
"7329 S Cass Ave, Darien, Illinois, 60561",(630) 960-3177,-87.97256002553519,41.75382007718263,
"2317 75th St, Woodridge, Illinois, 60517",(630) 985-9380,-88.03866003332548,41.749599945034475,
"12803 S Harlem Ave, Palos Heights, Illinois, 60463",(708) 671-1568,-87.79493999999994,41.65942000000007,
"17117 S Harlem Ave, Tinley Park, Illinois, 60477",(708) 532-7414,-87.79214999999994,41.579540000000065,
"3128 W 103rd St, Chicago, Illinois, 60655",(773) 238-4444,-87.69973999999996,41.70661000000007,
"9424 S Pulaski Rd, Oak Lawn, Illinois, 60453",(708) 857-8274,-87.72213999999997,41.721520000000055,
"4650 W 103rd St, Oak Lawn, Illinois, 60453",(708) 636-2520,-87.73725999999994,41.706480000000056,
"8801 Ridgeland Ave, Oak Lawn, Illinois, 60453",(708) 599-4500,-87.77936999999997,41.73199000000005,
"7910 S Cicero Ave, Burbank, Illinois, 60459",(708) 422-5252,-87.74196002611211,41.74773997388792,
"9534 S Roberts Rd, Hickory Hills, Illinois, 60457",(708) 599-5514,-87.81991999999997,41.717490000000055,
"17930 Wolf Rd, Orland Park, Illinois, 60467",(708) 479-1573,-87.89277998499635,41.5632000732875,
"9350 W 159th St, Orland Park, Illinois, 60462",(708) 403-6920,-87.84700999999995,41.603270000000066,
"9652 W 131st St, Palos Park, Illinois, 60464",(708) 361-8880,-87.85648999999995,41.65322000000003,
"21164 S La Grange Rd, Frankfort, Illinois, 60423",(815) 464-5352,-87.85291999999998,41.50473000000005,
"5545 S Brainard Ave, La Grange, Illinois, 60525",(708) 352-0120,-87.87736999999998,41.78992000000005,
"6107 S Archer Ave, Chicago, Illinois, 60638",(773) 735-0043,-87.76984003116108,41.79400003664379,
"550 N State St, Chicago, Illinois, 60654",(312) 527-2162,-87.62810999999994,41.89235000000008,
"1224 S Wabash Ave, Chicago, Illinois, 60605",,-87.62581999999998,41.86665000000005,
"1220 S Ashland Ave, Chicago, Illinois, 60608",(312) 733-0153,-87.66813999999994,41.865620000000035,
"370 N Desplaines St, Chicago, Illinois, 60661",(312) 243-2710,-87.64431002005256,41.88865002943041,
"1340 S Canal St, Chicago, Illinois, 60607",(312) 666-5495,-87.64007999999995,41.86445000000003,
"3644 S Archer Ave, Chicago, Illinois, 60609",(773) 523-6923,-87.68296999999995,41.82740000000007,
"424 W Division St, Chicago, Illinois, 60610",(312) 642-2709,-87.63930999999997,41.90476000000007,
"2550 N Clybourn Ave, Chicago, Illinois, 60614",(773) 348-6426,-87.67409007775944,41.92753004053891,
"3630 N Southport Ave, Chicago, Illinois, 60613",,-87.66407999999996,41.94792000000007,
"3531 N Broadway St, Chicago, Illinois, 60657",(773) 871-1054,-87.64654995556596,41.946650066074156,
"2940 N Ashland Ave, Chicago, Illinois, 60657",(773) 871-8242,-87.66975995614287,41.935609963356306,
"4355 N Sheridan Rd, Chicago, Illinois, 60613",(773) 477-7151,-87.65360999999996,41.961400000000026,
"4250 N Lincoln Ave, Chicago, Illinois, 60618",(773) 472-6171,-87.68243005496552,41.95867005554258,
"1341 N Paulina St, Chicago, Illinois, 60622",,-87.66969996277932,41.90623000447213,
"6014 S Cottage Grove Ave, Chicago, Illinois, 60637",(773) 358-4301,-87.60603000952098,41.784639974464824,
"443 E 34th St, Chicago, Illinois, 60616",(312) 842-0667,-87.61437999999998,41.83309000000003,
"1655 E 95th St, Chicago, Illinois, 60617",,-87.58290999999997,41.72060000000005,
"7530 S Stony Island Ave, Chicago, Illinois, 60649",(773) 955-8150,-87.58735999999999,41.758260000000064,
"3570 N Elston Ave, Chicago, Illinois, 60618",(773) 583-9150,-87.70846999999998,41.945440000000076,
"4042 W Foster Ave, Chicago, Illinois, 60630",(773) 583-8080,-87.72961999999995,41.976080000000024,
"3400 N Western Ave, Chicago, Illinois, 60618",(773) 327-1204,-87.68946993435952,41.94349994503446,
"4660 W Irving Park Rd, Chicago, Illinois, 60641",(773) 202-0211,-87.74450999999999,41.95514000000003,
"101 W 87th St, Chicago, Illinois, 60620",(773) 483-6500,-87.62740999999994,41.73538000000008,
"9400 S Ashland Ave, Chicago, Illinois, 60620",(773) 238-2393,-87.66365998167812,41.72264994892959,
"5343 N Broadway St, Chicago, Illinois, 60640",(773) 784-1922,-87.65949001832182,41.978890062178984,
"5516 N Clark St, Chicago, Illinois, 60640",(773) 728-7730,-87.66886999999997,41.98255000000006,
"5320 S Pulaski Rd, Chicago, Illinois, 60632",(773) 284-7700,-87.724529950517,41.795920026112185,
"6430 W Irving Park Rd, Chicago, Illinois, 60634",(773) 725-8900,-87.78780999999998,41.95378000000005,
"4729 N Central Ave, Chicago, Illinois, 60630",(773) 777-1142,-87.76696999999996,41.96696000000003,
"2520 N Narragansett Ave, Chicago, Illinois, 60639",(773) 804-1692,-87.78621999999996,41.92658000000006,
