ADDRESS,PHONE,POSTAL,LONGITUDE,LATITUDE
"750 N Martingale Rd, Schaumburg, Illinois, 60173",(847) 585-5800,60173,-88.03631008107769,42.04246999220975
"225 W Touhy Ave, Park Ridge, Illinois, 60068",(847) 292-7100,60068,-87.82530994777568,42.01070997720612
"840 Willow Rd, Northbrook, Illinois, 60062",(847) 205-5353,60062,-87.80126999999999,42.10660000000007
"760 Waukegan Rd, Deerfield, Illinois, 60015",(847) 444-1900,60015,-87.84762999999998,42.16643000000005
"6020 N Cicero Ave, Chicago, Illinois, 60646",(773) 205-1100,60646,-87.74855007386432,41.9907299411393
"6009 N Broadway St, Chicago, Illinois, 60660",(773) 506-7600,60660,-87.65971998889144,41.99151996609764
"1111 Chicago Ave, Evanston, Illinois, 60202",(847) 475-9492,60202,-87.67983995614289,42.03825993724418
"1640 Chicago Ave, Evanston, Illinois, 60201",(847) 733-1600,60201,-87.678990048906,42.04760992887697
"2748 Green Bay Rd, Evanston, Illinois, 60201",(847) 424-5700,60201,-87.7025200294303,42.06825992339436
"20281 N Rand Rd, Palatine, Illinois, 60074",(847) 726-4601,60074,-88.04400007775945,42.159170069392346
"7245 Lake St, River Forest, Illinois, 60305",(708) 366-1045,60305,-87.80610656738281,41.88725280761719
"15260 S La Grange Rd, Orland Park, Illinois, 60462",(708) 364-1350,60462,-87.85463999999996,41.61250000000007
"500 E Ogden Ave, Hinsdale, Illinois, 60521",(630) 986-8500,60521,-87.91738992671252,41.817469974464814
"30 W Huron St, Chicago, Illinois, 60654",(312) 932-9600,60654,-87.62913999999995,41.894870000000026
"255 E Grand Ave, Chicago, Illinois, 60611",(312) 379-7900,60611,-87.62052003116109,41.89176998441949
"1 N Halsted St, Chicago, Illinois, 60661",(312) 207-8400,60661,-87.64733998499632,41.88194007660575
"1101 S Canal St, Chicago, Illinois, 60607",(312) 435-4600,60607,-87.63923999999997,41.86868000000004
"832 W 63rd St, Chicago, Illinois, 60621",(773) 896-9800,60621,-87.64627994892953,41.780499987737706
"3640 N Halsted St, Chicago, Illinois, 60613",(773) 472-0400,60613,-87.64952999999997,41.94836000000004
"3201 N Ashland Ave, Chicago, Illinois, 60657",(773) 244-4200,60657,-87.66864995888419,41.93979000894417
"959 W Fullerton Ave, Chicago, Illinois, 60614",(773) 868-5200,60614,-87.65347993392588,41.925359945034444
"1550 N Kingsbury St, Chicago, Illinois, 60642",(312) 587-0648,60642,-87.65298006665098,41.90937993060773
"5118 S Lake Park Ave, Chicago, Illinois, 60615",(773) 819-1600,60615,-87.58770005222425,41.80186002553529
