ADDRESS,PHONE,POSTAL,LONGITUDE,LATITUDE,NAME
"56 S Arlington Heights Rd, Arlington Heights, Illinois, 60005",(847) 590-5667,60005,-87.98050999999998,42.081810000000075,Liquor Store
"76 S Arlington Heights Rd, Arlington Heights, Illinois, 60005",(847) 253-1111,60005,-87.98050999999998,42.081480000000056,Liquor Store
"14 S Evergreen Ave, Arlington Heights, Illinois, 60005",(847) 255-6395,60005,-87.98170999999996,42.08293000000003,Liquor Store
"624 S Arthur Ave, Arlington Heights, Illinois, 60005",(847) 253-4111,60005,-87.96636999999998,42.07265000000007,Liquor Store
"15 S Dunton Ave, Arlington Heights, Illinois, 60005",(847) 483-0299,60005,-87.98288993724408,42.08209002553525,Liquor Store
"3441 N Arlington Heights Rd, Arlington Heights, Illinois, 60004",(847) 255-6677,60004,-87.98479996999268,42.138389923394364,Liquor Store
"1422 E Hintz Rd, Arlington Heights, Illinois, 60004",(847) 818-1629,60004,-87.96559999999994,42.12448000000006,Liquor Store
"100 E Rand Rd, Arlington Heights, Illinois, 60004",(847) 368-0138,60004,-87.98149999999998,42.11424000000005,Liquor Store
"807 W Rand Rd, Arlington Heights, Illinois, 60004",(224) 764-2444,60004,-87.99270999999999,42.12066000000004,Liquor Store
"1 W Rand Rd, Arlington Heights, Illinois, 60004",(847) 577-2388,60004,-87.9813100227939,42.112350022217036,Liquor Store
"704 E Kensington Rd, Arlington Heights, Illinois, 60004",(847) 454-0130,60004,-87.97419993392587,42.081180076605726,Liquor Store
"1266 E Dundee Rd, Palatine, Illinois, 60074",(847) 991-0083,60074,-88.01314999999994,42.13918000000007,Liquor Store
"1645 N Baldwin Rd, Palatine, Illinois, 60074",(847) 496-5909,60074,-88.01410999999996,42.14310000000006,Liquor Store
"1006 S Elmhurst Rd, Mount Prospect, Illinois, 60056",(847) 290-7528,60056,-87.94217999999995,42.04703000000006,Liquor Store
"1685 Algonquin Rd, Rolling Meadows, Illinois, 60008",(847) 981-9790,60008,-87.99950999999999,42.05490000000003,Liquor Store
"100 E Algonquin Rd, Arlington Heights, Illinois, 60005",(847) 439-5592,60005,-87.98144996494368,42.04363003895144,Liquor Store
"600 E Brook Dr, Arlington Heights, Illinois, 60005",(847) 631-6000,60005,-87.97555999999997,42.03893000000005,Liquor Store
"35 Arlington Heights Rd, Elk Grove Village, Illinois, 60007",(847) 437-1234,60007,-87.98641999999995,42.02689000000004,Liquor Store
"601 N Martingale Rd, Schaumburg, Illinois, 60173",(847) 969-0388,60173,-88.03363000230765,42.039320013993176,Liquor Store
"475 N Martingale Rd, Schaumburg, Illinois, 60173",(847) 310-8007,60173,-88.03555999999998,42.03615000000008,Liquor Store
"1201 Tonne Rd, Elk Grove Village, Illinois, 60007",(847) 364-2040,60007,-87.97913995051701,42.008230000000026,Liquor Store
"6 E Devon Ave, Elk Grove Village, Illinois, 60007",(847) 357-1168,60007,-88.00256999999993,41.99267000000003,Liquor Store
"621 Meacham Rd, Elk Grove Village, Illinois, 60007",(630) 912-2191,60007,-88.04581999999994,42.00721000000004,Liquor Store
"652 Meacham Rd, Elk Grove Village, Illinois, 60007",(847) 584-9008,60007,-88.04587999999995,42.00571000000008,Liquor Store
"2121 Touhy Ave, Elk Grove Village, Illinois, 60007",(847) 595-2929,60007,-87.95093998167813,42.00786996609763,Liquor Store
"950 Chase Ave, Elk Grove Village, Illinois, 60007",(847) 718-0088,60007,-87.97210005107041,42.01003007054623,Liquor Store
"80 E Northwest Hwy, Mount Prospect, Illinois, 60056",(847) 577-6100,60056,-87.93582999999995,42.06325000000004,Liquor Store
"1027 N Elmhurst Rd, Mount Prospect, Illinois, 60056",(224) 735-2296,60056,-87.93678999999997,42.08580000000006,Liquor Store
"10 S Pine St, Mount Prospect, Illinois, 60056",(847) 392-2277,60056,-87.93958999999995,42.06612000000007,Liquor Store
"404 S Maple St, Mount Prospect, Illinois, 60056",(847) 342-6282,60056,-87.93394007386436,42.05877000000004,Liquor Store
"865 E Schaumburg Rd, Schaumburg, Illinois, 60194",(847) 524-5544,60194,-88.05955994835261,42.02734004385711,Liquor Store
"755 N Edgewood Ave, Wood Dale, Illinois, 60191",(630) 475-8118,60191,-87.96534992166352,41.97857999942312,Liquor Store
