ADDRESS,PHONE,POSTAL,LONGITUDE,LATITUDE,NAME
"1432 N Rand Rd, Arlington Heights, Illinois, 60004",,60004,-87.96644999999995,42.10184000000004,ALDI
"1202 W Dundee Rd, Buffalo Grove, Illinois, 60089",,60089,-87.98579999999998,42.139920000000075,ALDI
"550 E Golf Rd, Arlington Heights, Illinois, 60005",,60005,-87.97582001889873,42.05188001110854,ALDI
"1412 E Algonquin Rd, Schaumburg, Illinois, 60173",,60173,-88.04299992281739,42.06912005164742,ALDI
"620 Meacham Rd, Elk Grove Village, Illinois, 60007",,60007,-88.04822999999999,42.00773000000004,ALDI
"1000 Mt Prospect Plz, Mount Prospect, Illinois, 60056",,60056,-87.92206004832909,42.06834001558061,ALDI
"1365 Lee St, Des Plaines, Illinois, 60018",,60018,-87.8930200128392,42.028390080500884,ALDI
"9310 Irving Park Rd, Schiller Park, Illinois, 60176",,60176,-87.85969999220968,41.95475000057695,ALDI
"7905 Golf Rd, Morton Grove, Illinois, 60053",,60053,-87.82262999999995,42.054500000000075,ALDI
"7428 N Waukegan Rd, Niles, Illinois, 60714",(847) 647-7852,60714,-87.80332999999996,42.015840000000026,ALDI
"6220 N California Ave, Chicago, Illinois, 60659",,60659,-87.69955999999996,41.99459000000007,ALDI
"6221 N Broadway St, Chicago, Illinois, 60660",,60660,-87.66040999999996,41.99502000000007,ALDI
"2211 Oakton St, Evanston, Illinois, 60202",,60202,-87.70419999999996,42.02653000000004,ALDI
"4833 Oakton St, Skokie, Illinois, 60077",,60077,-87.74859999999995,42.025190000000066,ALDI
"981 S Rand Rd, Lake Zurich, Illinois, 60047",(847) 726-6705,60047,-88.08178999999996,42.18070000000006,ALDI
"4999 Old Orchard Ctr, Skokie, Illinois, 60077",(847) 329-8985,60077,-87.74921999999998,42.058010000000024,ALDI
"1345 W North Ave, Melrose Park, Illinois, 60160",,60160,-87.84895999999998,41.90969000000007,ALDI
"913 E Irving Park Rd, Streamwood, Illinois, 60107",(630) 372-0243,60107,-88.16081999999994,42.00863000000004,ALDI
"2000 Harlem Ave, Riverside, Illinois, 60546",,60546,-87.80482999999998,41.85385000000008,ALDI
"50 W North Ave, Melrose Park, Illinois, 60164",,60164,-87.9065599489295,41.90739002943039,ALDI
"375 W Higgins Rd, Schaumburg, Illinois, 60195",,60195,-88.08815999999996,42.04633000000007,ALDI
"1001 W Cermak Rd, Broadview, Illinois, 60155",,60155,-87.84473993392588,41.85041004385714,ALDI
"1038 N Rohlwing Rd, Addison, Illinois, 60101",,60101,-88.03486005611936,41.94862002221705,ALDI
"Jalan Dharma Permai VII, Mulyorejo, Surabaya, Jawa Timur, 60115",,60115,112.78227000000004,-7.275169999999946,ALDI
"Jalan Dr Ir Haji Soekarno, Mulyorejo, Surabaya, Jawa Timur, 60115",,60115,112.78152000000011,-7.275589999999966,ALDI
"5629 W Fillmore St, Chicago, Illinois, 60644",,60644,-87.76459005222426,41.86701002553525,ALDI
"5775 S Archer Ave, Chicago, Illinois, 60638",,60638,-87.75687999999997,41.79648000000003,ALDI
"7235 39th St, Lyons, Illinois, 60534",,60534,-87.80420004053884,41.82055000779031,ALDI
"12050 S Pulaski Rd, Alsip, Illinois, 60803",,60803,-87.72039999999998,41.67335000000003,ALDI
"13085 Ashland Ave, Riverdale, Illinois, 60827",,60827,-87.65968999999996,41.657110000000046,ALDI
"12215 Western Ave, Blue Island, Illinois, 60406",,60406,-87.68002999999999,41.67131000000006,ALDI
"1490 Torrence Ave, Calumet City, Illinois, 60409",(708) 868-7192,60409,-87.55965992671251,41.59148004111582,ALDI
"3602 Ridge Rd, Lansing, Illinois, 60438",,60438,-87.52942999999999,41.56472000000008,ALDI
"527 W 14th St, Chicago Heights, Illinois, 60411",,60411,-87.66521999999998,41.50649000000004,ALDI
"18901 S Halsted St, Glenwood, Illinois, 60425",,60425,-87.63533997056962,41.54699002553525,ALDI
"9640 Ridgeland Ave, Chicago Ridge, Illinois, 60415",,60415,-87.78107999999997,41.71652000000006,ALDI
"1051 E 162nd St, South Holland, Illinois, 60473",,60473,-87.59090005496554,41.60035992339437,ALDI
"3500 183rd St, Hazel Crest, Illinois, 60429",,60429,-87.70273993060768,41.55760997446481,ALDI
"821 W 115th St, Chicago, Illinois, 60643",,60643,-87.64344999999997,41.683890000000076,ALDI
"1237 State St, Lemont, Illinois, 60439",,60439,-87.99824997446473,41.65490993060776,ALDI
"14245 S Greystone Dr, Homer Glen, Illinois, 60491",,60491,-87.92585000389508,41.62985005943768,ALDI
"351 Brookview Ln, Bolingbrook, Illinois, 60440",,60440,-88.07009008050076,41.689439948929596,ALDI
"16060 S Farrell Rd, Lockport, Illinois, 60441",,60441,-88.02690007386431,41.59434004775229,ALDI
"2251 75th St, Darien, Illinois, 60561",,60561,-88.00121999999999,41.75073000000003,ALDI
"11340 S Cicero Ave, Alsip, Illinois, 60803",,60803,-87.7401400510704,41.68739999610491,ALDI
"16000 S Harlem Ave, Tinley Park, Illinois, 60477",,60477,-87.79426002553521,41.600460000000055,ALDI
"8333 S Cicero Ave, Chicago, Illinois, 60652",,60652,-87.74050004385707,41.74095001110855,ALDI
"3231 W 87th St, Evergreen Park, Illinois, 60805",,60805,-87.70355999999998,41.73424000000006,ALDI
"7802 S Harlem Ave, Bridgeview, Illinois, 60455",,60455,-87.80099999999999,41.749630000000025,ALDI
"7020 S Cicero Ave, Chicago, Illinois, 60638",,60638,-87.74321995946109,41.766770043857136,ALDI
"9271 159th St, Tinley Park, Illinois, 60487",(708) 226-5706,60487,-87.84577999999999,41.59894000000003,ALDI
"20230 S La Grange Rd, Frankfort, Illinois, 60423",(815) 469-6706,60423,-87.85142999999994,41.522560000000055,ALDI
"107 S State St, Chicago, Illinois, 60603",(312) 346-3284,60603,-87.62770999999998,41.88017000000008,ALDI
"835 N Michigan Ave, Chicago, Illinois, 60611",(312) 440-8254,60611,-87.62405999999999,41.89777000000004,ALDI
"1739 W Cermak Rd, Chicago, Illinois, 60608",,60608,-87.66986999999995,41.85175000000004,ALDI
"3030 S Kedzie Ave, Chicago, Illinois, 60623",,60623,-87.70542007660566,41.83799004053891,ALDI
"620 W 63rd St, Chicago, Illinois, 60621",,60621,-87.64075999999994,41.780170000000055,ALDI
"6025 S Western Ave, Chicago, Illinois, 60636",,60636,-87.68331999999998,41.78404000000006,ALDI
"1508 W 47th St, Chicago, Illinois, 60609",,60609,-87.66315001110847,41.80915004053891,ALDI
"800 N Kedzie Ave, Chicago, Illinois, 60651",,60651,-87.70812999999998,41.89672000000007,ALDI
"2600 N Clybourn Ave, Chicago, Illinois, 60614",,60614,-87.67446005496552,41.92860997778306,ALDI
"4500 N Broadway St, Chicago, Illinois, 60640",,60640,-87.65712996335624,41.96356001889881,ALDI
"1836 N Clybourn Ave, Chicago, Illinois, 60614",,60614,-87.65453999999994,41.91452000000004,ALDI
"6621 S Cottage Grove Ave, Chicago, Illinois, 60637",,60637,-87.60555992671253,41.77413004775226,ALDI
"2333 E 95th St, Chicago, Illinois, 60617",,60617,-87.56703999999996,41.72243000000003,ALDI
"10532 S Indianapolis Ave, Chicago, Illinois, 60617",(773) 734-6369,60617,-87.52591999999999,41.70374000000004,ALDI
"1246 E 87th St, Chicago, Illinois, 60619",,60619,-87.59393999999998,41.73681000000005,ALDI
"2431 W Montrose Ave, Chicago, Illinois, 60618",(773) 478-6275,60618,-87.69011999999998,41.96118000000007,ALDI
"4030 W Wrightwood Ave, Chicago, Illinois, 60639",,60639,-87.72849999999994,41.92849000000007,ALDI
"1753 N Milwaukee Ave, Chicago, Illinois, 60647",,60647,-87.68176999999997,41.91319000000004,ALDI
"5001 N Pulaski Rd, Chicago, Illinois, 60630",,60630,-87.72795999999994,41.97260000000006,ALDI
"8500 S Holland Rd, Chicago, Illinois, 60620",,60620,-87.63223004443397,41.7390600510705,ALDI
"7345 S State St, Chicago, Illinois, 60619",,60619,-87.62450999999999,41.760740000000055,ALDI
"7545 S Western Ave, Chicago, Illinois, 60620",,60620,-87.68250993003075,41.75617991949926,ALDI
"7627 S Ashland Ave, Chicago, Illinois, 60620",,60620,-87.6632799922097,41.75510992339441,ALDI
"2541 W 95th St, Evergreen Park, Illinois, 60805",(708) 422-4351,60805,-87.68644714355469,41.71957778930664,ALDI
