SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MLS,LATITUDE,LONGITUDE,COMMUTE_NUM_STEPS,COMMUTE,COMMUTE_STEPS,WALKING_TIME
MLS Listing,Townhouse,1134 W Granville Ave,Chicago,IL,60660,273900,1.5,1.0,Edgewater,1001.0,900.0,1980.0,53,171.0,,Contingent,https://www.redfin.com/IL/Chicago/1134-W-Granville-Ave-60660/unit-801/home/18570692,MRED,10573453,41.995020000000004,-87.66041,3.0,25 mins,"WALKING(5 MINS), BUS147(19 mins), WALKING(1 MIN)",6.0
MLS Listing,Townhouse,6122 N Winthrop Ave Unit C,Chicago,IL,60660,273900,3.0,2.5,Edgewater,1605.0,900.0,1965.0,53,171.0,,Contingent,http://www.redfin.com/IL/Chicago/6122-N-Winthrop-Ave-60660/unit-C/home/13413031,MRED,10573453,41.993017,-87.65856590000001,3.0,24 mins,"WALKING(4 MINS), BUS147(18 mins), WALKING(1 MIN)",5.0
MLS Listing,Condo/Co-op,2840 N LINCOLN Ave Unit H5,Chicago,IL,60657,420000,3.0,2.0,Lake View,1346.0,,1999.0,20,312.0,287.0,Contingent,http://www.redfin.com/IL/Chicago/2840-N-Lincoln-Ave-60657/unit-H5/home/12771767,MRED,10593200,41.9332976,-87.6602636,4.0,27 mins,"WALKING(8 MINS), BROWN LINE(2 mins), RED LINE(7 mins), WALKING(4 MINS)",12.0
MLS Listing,Condo/Co-op,1231 W Fletcher St Unit H,Chicago,IL,60657,549500,3.0,2.5,Lake View,,,1989.0,3,,294.0,Active,http://www.redfin.com/IL/Chicago/1231-W-Fletcher-St-60657/unit-H/home/13365513,MRED,10600292,41.9387551,-87.6602365,3.0,22 mins,"WALKING(9 MINS), RED LINE(10 mins), WALKING(4 MINS)",13.0
PAST SALE,Condo/Co-op,1140 W Cornelia Ave Unit D,Chicago,IL,60657,605000,3.0,2.5,Lake View,,,1920.0,1403,,200.0,Sold,http://www.redfin.com/IL/Chicago/1140-W-Cornelia-Ave-60657/unit-D/home/13382583,MRED,9068069,41.945578999999995,-87.65830799999999,3.0,24 mins,"WALKING(8 MINS), RED LINE(12 mins), WALKING(4 MINS)",12.0
MLS Listing,Townhouse,727 S Ashland Ave Unit B,Chicago,IL,60607,460000,3.0,2.5,Near West Side,1750.0,,1989.0,26,263.0,438.0,Active,http://www.redfin.com/IL/Chicago/727-S-Ashland-Ave-60607/unit-B/home/14089906,MRED,10590127,41.87258,-87.666075,5.0,37 mins,"WALKING(1 MIN), BUS9(7 mins), WALKING(1 MIN), BUS66(16 mins), WALKING(2 MINS)",4.0
MLS Listing,Townhouse,1449 W Lexington St Unit UC,Chicago,IL,60607,485000,3.0,2.5,Near West Side,2000.0,,1980.0,3,243.0,326.0,Active,http://www.redfin.com/IL/Chicago/1449-W-Lexington-St-60607/unit-UC/home/14089372,MRED,10600111,41.872339399999994,-87.6637968,5.0,33 mins,"WALKING(7 MINS), BLUE LINE(7 mins), WALKING(1 MIN), BUS22(8 mins), WALKING(6 MINS)",14.0
PAST SALE,Townhouse,1152 W Polk St,Chicago,IL,60607,535000,3.0,2.5,Near West Side,2508.0,1362.0,1990.0,2750,213.0,285.0,Sold,http://www.redfin.com/IL/Chicago/1152-W-Polk-St-60607/home/14088876,MRED,7774745,41.872,-87.656231,5.0,32 mins,"WALKING(1 MIN), BUS60(16 mins), WALKING(1 MIN), BUS147(7 mins), WALKING(3 MINS)",5.0
MLS Listing,Townhouse,4240 N Kenmore Ave Unit 5N,Chicago,IL,60613,389000,2.0,2.0,Uptown,1970.0,,1997.0,60,197.0,100.0,Contingent,http://www.redfin.com/IL/Chicago/4240-N-Kenmore-Ave-60613/unit-5N/home/13393285,MRED,10568329,41.959815899999995,-87.656785,3.0,32 mins,"WALKING(4 MINS), BUS151(27 mins), WALKING(1 MIN)",5.0
PAST SALE,Townhouse,5320 N Kenmore Ave Unit M,Chicago,IL,60640,404400,3.0,2.0,Edgewater,1900.0,977.0,1996.0,16,213.0,204.0,Sold,http://www.redfin.com/IL/Chicago/5320-N-Kenmore-Ave-60640/unit-M/home/13399393,MRED,10545078,41.9789715,-87.6571219,3.0,16 mins,"WALKING(3 MINS), BUS147(12 mins), WALKING(1 MIN)",4.0
PAST SALE,Townhouse,1315 S Plymouth Ct Unit G,Chicago,IL,60605,489000,2.0,2.0,Near South Side,,,1992.0,6,,90.0,Sold,http://www.redfin.com/IL/Chicago/1315-S-Plymouth-Ct-60605/unit-G/home/14084451,MRED,10560788,41.8655929,-87.628002,3.0,18 mins,"WALKING(7 MINS), RED LINE(8 mins), WALKING(4 MINS)",11.0
MLS Listing,Townhouse,2724 W Byron St,Chicago,IL,60618,410000,4.0,2.5,Irving Park,1530.0,1011.0,2008.0,72,268.0,350.0,Active,http://www.redfin.com/IL/Chicago/2724-W-Byron-St-60618/home/18925910,MRED,10557759,41.953482,-87.6967729,5.0,36 mins,"WALKING(1 MIN), BUS80(11 mins), WALKING(1 MIN), RED LINE(15 mins), WALKING(4 MINS)",6.0
MLS Listing,Townhouse,719 W Blackhawk St,Chicago,IL,60610,419900,2.0,2.0,Near North Side,,,2004.0,72,,503.0,Contingent,http://www.redfin.com/IL/Chicago/719-W-Blackhawk-St-60610/home/12698687,MRED,10558507,41.907224,-87.64765899999999,3.0,17 mins,"WALKING(8 MINS), RED LINE(5 mins), WALKING(4 MINS)",12.0
MLS Listing,Townhouse,2733 N JANSSEN Ave Unit B,Chicago,IL,60614,649000,3.0,2.0,Lincoln Park,,,1988.0,72,,250.0,Active,http://www.redfin.com/IL/Chicago/2733-N-Greenview-Ave-60614/unit-B/home/13362902,MRED,10557755,41.931937,-87.665184,5.0,33 mins,"WALKING(2 MINS), BUS76(7 mins), WALKING(1 MIN), BUS151(14 mins), WALKING(1 MIN)",4.0
MLS Listing,Condo/Co-op,2843 N LINCOLN Ave #108,Chicago,IL,60657,525000,3.0,2.0,Lake View,,,1996.0,2,,353.0,Active,http://www.redfin.com/IL/Chicago/2843-N-Lincoln-Ave-60657/unit-108/home/13363726,MRED,10601094,41.933669200000004,-87.6597524,4.0,27 mins,"WALKING(7 MINS), BROWN LINE(2 mins), RED LINE(7 mins), WALKING(4 MINS)",11.0
MLS Listing,Townhouse,1503 S Sangamon St,Chicago,IL,60608,649000,4.0,3.5,Near West Side,2500.0,1922.0,2004.0,76,260.0,345.0,Active,http://www.redfin.com/IL/Chicago/1503-S-Sangamon-St-60608/unit-146/home/12679426,MRED,10553200,41.861562,-87.649661,5.0,37 mins,"WALKING(4 MINS), BUS8(17 mins), WALKING(1 MIN), RED LINE(5 mins), WALKING(4 MINS)",9.0
MLS Listing,Townhouse,2701 W Riverview Pkwy,Chicago,IL,60618,449000,3.0,2.5,Avondale,2700.0,,2002.0,16,166.0,456.0,Active,http://www.redfin.com/IL/Chicago/2701-W-Riverview-Pkwy-60618/home/12563500,MRED,10595792,41.9407833,-87.6954808,5.0,36 mins,"WALKING(2 MINS), BUS77(11 mins), WALKING(2 MINS), RED LINE(10 mins), WALKING(4 MINS)",8.0
PAST SALE,Single Family Residential,11263 S Drake Ave,CHICAGO,IL,60655,256000,3.0,2.0,Mount Greenwood,1030.0,3720.0,1913.0,282,249.0,,Sold,http://www.redfin.com/IL/Chicago/11263-S-Drake-Ave-60655/home/13134963,MRED,10251905,41.687795,-87.70886800000001,5.0,1 hour 7 mins,"WALKING(6 MINS), BUS112(21 mins), WALKING(3 MINS), RED LINE(29 mins), WALKING(4 MINS)",13.0
PAST SALE,Townhouse,3910 N Fremont St Unit B,CHICAGO,IL,60613,430000,3.0,2.0,Lake View,1500.0,750.0,1993.0,704,287.0,140.0,Sold,http://www.redfin.com/IL/Chicago/3910-N-Fremont-St-60613/unit-B/home/13382491,MRED,9797773,41.953006,-87.652704,3.0,23 mins,"WALKING(4 MINS), RED LINE(15 mins), WALKING(4 MINS)",8.0
PAST SALE,Townhouse,5320 N Kenmore Ave Unit I,CHICAGO,IL,60640,295000,2.0,1.5,Edgewater,1060.0,,1996.0,797,278.0,194.0,Sold,http://www.redfin.com/IL/Chicago/5320-N-Kenmore-Ave-60640/unit-I/home/13399567,MRED,9756858,41.9789715,-87.6571219,3.0,16 mins,"WALKING(3 MINS), BUS147(12 mins), WALKING(1 MIN)",4.0
MLS Listing,Townhouse,5320 N Kenmore Ave Unit D,Chicago,IL,60640,398000,2.0,2.0,Edgewater,1600.0,1200.0,1994.0,99,249.0,313.0,Active,http://www.redfin.com/IL/Chicago/5320-N-Kenmore-Ave-60640/unit-D/home/13399345,MRED,10532128,41.9789715,-87.6571219,3.0,16 mins,"WALKING(3 MINS), BUS147(12 mins), WALKING(1 MIN)",4.0
PAST SALE,Townhouse,4208 W Thorndale Ave,Chicago,IL,60646,450000,3.0,2.5,Forest Glen,2991.0,2047.0,1991.0,32,150.0,425.0,Sold,http://www.redfin.com/IL/Chicago/4208-W-Thorndale-Ave-60646/home/13512920,MRED,10547176,41.989095,-87.734133,5.0,44 mins,"WALKING(2 MINS), BUS84(21 mins), WALKING(1 MIN), BUS147(14 mins), WALKING(1 MIN)",4.0
MLS Listing,Townhouse,2924 N PAULINA St,Chicago,IL,60657,619900,3.0,2.5,Lake View,2058.0,1330.0,2000.0,104,301.0,288.0,Active,http://www.redfin.com/IL/Chicago/2924-N-Paulina-St-60657/home/12726539,MRED,10526519,41.9349551,-87.6710614,5.0,41 mins,"WALKING(4 MINS), BUS9(13 mins), WALKING(1 MIN), BUS66(16 mins), WALKING(2 MINS)",7.0
PAST SALE,Townhouse,660 N Peoria St Unit 2S,CHICAGO,IL,60642,435000,2.0,2.5,West Town,1846.0,,1992.0,2006,236.0,175.0,Sold,http://www.redfin.com/IL/Chicago/660-N-Peoria-St-60642/unit-2S/home/12573799,MRED,8623494,41.893946,-87.6505619,3.0,17 mins,"WALKING(4 MINS), BUS66(11 mins), WALKING(2 MINS)",6.0
MLS Listing,Townhouse,3910 N FREMONT St Unit G,Chicago,IL,60613,460000,3.0,2.0,Lake View,1623.0,800.0,1993.0,86,283.0,150.0,Contingent,http://www.redfin.com/IL/Chicago/3910-N-Fremont-St-60613/unit-G/home/13383828,MRED,10545237,41.953006,-87.652704,3.0,23 mins,"WALKING(4 MINS), RED LINE(15 mins), WALKING(4 MINS)",8.0
PAST SALE,Townhouse,931 W WRIGHTWOOD Ave Unit C,CHICAGO,IL,60614,350000,3.0,2.5,Lincoln Park,,,1988.0,3406,,305.0,Sold,http://www.redfin.com/IL/Chicago/931-W-Wrightwood-Ave-60614/unit-C/home/13359431,MRED,7558014,41.928825399999994,-87.6526926,3.0,18 mins,"WALKING(7 MINS), RED LINE(7 mins), WALKING(4 MINS)",11.0
MLS Listing,Condo/Co-op,2805 N Wolcott Ave Unit D,Chicago,IL,60657,439000,2.0,2.0,North Center,1700.0,,1995.0,87,258.0,498.0,Active,http://www.redfin.com/IL/Chicago/2805-N-Wolcott-Ave-60657/unit-D/home/13358918,MRED,10543681,41.934384200000004,-87.6742284,5.0,41 mins,"WALKING(6 MINS), BUS76(11 mins), WALKING(1 MIN), BUS151(14 mins), WALKING(1 MIN)",8.0
MLS Listing,Townhouse,1705 W LEMOYNE St Unit H,Chicago,IL,60622,559900,3.0,2.5,West Town,,900.0,1995.0,53,,60.0,Contingent,http://www.redfin.com/IL/Chicago/1705-W-Le-Moyne-St-60622/unit-H/home/12768001,MRED,10572807,41.9088855,-87.6703588,5.0,23 mins,"WALKING(3 MINS), BUS72(7 mins), WALKING(1 MIN), RED LINE(5 mins), WALKING(4 MINS)",8.0
MLS Listing,Townhouse,1625 N Larrabee St,Chicago,IL,60614,655000,3.0,3.0,Lincoln Park,2200.0,,1989.0,58,298.0,410.0,Active,http://www.redfin.com/IL/Chicago/1625-N-Larrabee-St-60614/home/13346193,MRED,10569451,41.911722,-87.6431801,3.0,15 mins,"WALKING(7 MINS), RED LINE(5 mins), WALKING(4 MINS)",11.0
PAST SALE,Condo/Co-op,1765 W ALTGELD St Unit G,Chicago,IL,60614,414900,2.0,2.0,Lincoln Park,1760.0,,1993.0,51,236.0,280.0,Sold,http://www.redfin.com/IL/Chicago/1765-W-Terra-Cotta-Pl-60614/unit-G/home/13358277,MRED,10537974,41.9281733,-87.6723436,5.0,40 mins,"WALKING(5 MINS), BUS9(11 mins), WALKING(1 MIN), BUS66(16 mins), WALKING(2 MINS)",8.0
PAST SALE,Condo/Co-op,1541 W Henderson St Unit H,Chicago,IL,60657,627500,3.0,2.5,Lake View,,,1995.0,34,,490.0,Sold,http://www.redfin.com/IL/Chicago/1541-W-Henderson-St-60657/unit-H/home/13382863,MRED,10508800,41.942313,-87.66790400000001,4.0,30 mins,"WALKING(5 MINS), BROWN LINE(7 mins), RED LINE(7 mins), WALKING(4 MINS)",9.0
MLS Listing,Townhouse,2508 N Bosworth Ave,Chicago,IL,60614,569000,2.0,2.5,Lincoln Park,1600.0,1600.0,1994.0,122,356.0,,Active,http://www.redfin.com/IL/Chicago/2508-N-Bosworth-Ave-60614/home/13361574,MRED,10507347,41.9272901,-87.6672256,5.0,39 mins,"WALKING(4 MINS), BUS9(10 mins), WALKING(1 MIN), BUS66(16 mins), WALKING(2 MINS)",7.0
PAST SALE,Townhouse,3147 N Honore St,Chicago,IL,60657,599000,3.0,2.5,North Center,2500.0,,2007.0,69,240.0,300.0,Sold,http://www.redfin.com/IL/Chicago/3147-N-Honore-St-60657/home/18980172,MRED,10529114,41.9391322,-87.6739123,5.0,30 mins,"WALKING(1 MIN), BUS77(6 mins), WALKING(2 MINS), RED LINE(10 mins), WALKING(4 MINS)",7.0
MLS Listing,Townhouse,3341 N Racine Ave Unit B,Chicago,IL,60657,484900,2.0,2.0,Lake View,,,1989.0,2,,465.0,Active,http://www.redfin.com/IL/Chicago/3341-N-Racine-Ave-60657/unit-B/home/169090661,MRED,10601254,41.943042999999996,-87.65885899999999,3.0,24 mins,"WALKING(11 MINS), RED LINE(10 mins), WALKING(4 MINS)",15.0
PAST SALE,Townhouse,2652 N SOUTHPORT Ave Unit F,Chicago,IL,60614,625000,3.0,2.5,Lincoln Park,2000.0,2000.0,1988.0,23,313.0,215.0,Sold,http://www.redfin.com/IL/Chicago/2652-N-Southport-Ave-60614/unit-F/home/13362851,MRED,10544003,41.9303541,-87.6647832,5.0,35 mins,"WALKING(4 MINS), BUS76(7 mins), WALKING(1 MIN), BUS151(14 mins), WALKING(1 MIN)",6.0
