SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MLS,LATITUDE,LONGITUDE,COMMUTE_NUM_STEPS,COMMUTE,COMMUTE_STEPS,WALKING_TIME,GROCERY_driving,GROCERY_walking,GROCERY_walking_num,ALDI_walking,JEWEL_walking,MARIANO_walking,TRADERJOE_walking,WHOLEFOODS_walking,ALDI_driving,JEWEL_driving,MARIANO_driving,TRADERJOE_driving,WHOLEFOODS_driving,ZILLOW_ID,ZILLOW_URL,LAST_TAX_YEAR,LAST_TAX_ASSESSMENT,ESTIMATED_TAX,LAST_SOLD_DATE,LAST_SOLD_PRICE,ZESTIMATE,ZESTIMATE_LAST_UPDATED,ZESTIMATE_VALUE_CHANGE,ZESTIMATE_RANGE_HIGH,ZESTIMATE_RANGE_LOW
MLS Listing,Townhouse,1134 W Granville Ave,Chicago,IL,60660,273900,1.5,1.0,Edgewater,1001.0,900.0,1980.0,53,171.0,,Contingent,https://www.redfin.com/IL/Chicago/1134-W-Granville-Ave-60660/unit-801/home/18570692,MRED,10573453,41.99502,-87.66041,3.0,25 mins,"WALKING(5 MINS), BUS147(19 mins), WALKING(1 MIN)",6.0,"ALDI, JEWEL, MARIANO, WHOLEFOODS","ALDI, WHOLEFOODS",2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,295433500.0,http://www.zillow.com/homedetails/1134-W-Granville-Ave-P-420-Chicago-IL-60660/295433500_zpid/,2017.0,1365.0,5798.463000000002,11/29/2012,265000.0,,01/01/1970,,,
MLS Listing,Townhouse,6122 N Winthrop Ave Unit C,Chicago,IL,60660,273900,3.0,2.5,Edgewater,1605.0,900.0,1965.0,53,171.0,,Contingent,http://www.redfin.com/IL/Chicago/6122-N-Winthrop-Ave-60660/unit-C/home/13413031,MRED,10573453,41.993017,-87.65856590000001,3.0,24 mins,"WALKING(4 MINS), BUS147(18 mins), WALKING(1 MIN)",5.0,"ALDI, JEWEL, MARIANO, WHOLEFOODS","ALDI, WHOLEFOODS",2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2119243051.0,http://www.zillow.com/homedetails/6122-N-Winthrop-Ave-UNIT-B-Chicago-IL-60660/2119243051_zpid/,2017.0,28295.0,5798.463000000002,12/22/2014,205000.0,,01/01/1970,,,
MLS Listing,Condo/Co-op,2840 N LINCOLN Ave Unit H5,Chicago,IL,60657,420000,3.0,2.0,Lake View,1346.0,,1999.0,20,312.0,287.0,Contingent,http://www.redfin.com/IL/Chicago/2840-N-Lincoln-Ave-60657/unit-H5/home/12771767,MRED,10593200,41.9332976,-87.6602636,4.0,27 mins,"WALKING(8 MINS), BROWN LINE(2 mins), RED LINE(7 mins), WALKING(4 MINS)",12.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,58362012.0,http://www.zillow.com/homedetails/2840-N-Lincoln-Ave-APT-H5-Chicago-IL-60657/58362012_zpid/,2017.0,28616.0,8891.400000000001,05/18/2015,510000.0,407325.0,01/26/2020,-436.0,427691.0,386959.0
MLS Listing,Condo/Co-op,1231 W Fletcher St Unit H,Chicago,IL,60657,549500,3.0,2.5,Lake View,,,1989.0,3,,294.0,Active,http://www.redfin.com/IL/Chicago/1231-W-Fletcher-St-60657/unit-H/home/13365513,MRED,10600292,41.9387551,-87.6602365,3.0,22 mins,"WALKING(9 MINS), RED LINE(10 mins), WALKING(4 MINS)",13.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS",WHOLEFOODS,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3727294.0,http://www.zillow.com/homedetails/1231-W-Fletcher-St-UNIT-H-Chicago-IL-60657/3727294_zpid/,2017.0,43619.0,11632.915,04/03/2015,492500.0,533741.0,01/26/2020,-7381.0,560428.0,507054.0
PAST SALE,Condo/Co-op,1140 W Cornelia Ave Unit D,Chicago,IL,60657,605000,3.0,2.5,Lake View,,,1920.0,1403,,200.0,Sold,http://www.redfin.com/IL/Chicago/1140-W-Cornelia-Ave-60657/unit-D/home/13382583,MRED,9068069,41.945579,-87.65830799999998,3.0,24 mins,"WALKING(8 MINS), RED LINE(12 mins), WALKING(4 MINS)",12.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS","JEWEL, WHOLEFOODS",2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3712289.0,http://www.zillow.com/homedetails/1140-W-Cornelia-Ave-APT-D-Chicago-IL-60657/3712289_zpid/,2017.0,38983.0,12807.85,03/08/2016,605000.0,628366.0,01/26/2020,-115.0,659784.0,596948.0
MLS Listing,Townhouse,727 S Ashland Ave Unit B,Chicago,IL,60607,460000,3.0,2.5,Near West Side,1750.0,,1989.0,26,263.0,438.0,Active,http://www.redfin.com/IL/Chicago/727-S-Ashland-Ave-60607/unit-B/home/14089906,MRED,10590127,41.87258,-87.666075,5.0,37 mins,"WALKING(1 MIN), BUS9(7 mins), WALKING(1 MIN), BUS66(16 mins), WALKING(2 MINS)",4.0,"ALDI, JEWEL, MARIANO, WHOLEFOODS",JEWEL,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3873959.0,http://www.zillow.com/homedetails/727-S-Ashland-Ave-APT-B-Chicago-IL-60607/3873959_zpid/,2017.0,34615.0,9738.2,08/07/2000,227000.0,435145.0,01/26/2020,-9142.0,456902.0,413388.0
MLS Listing,Townhouse,1449 W Lexington St Unit UC,Chicago,IL,60607,485000,3.0,2.5,Near West Side,2000.0,,1980.0,3,243.0,326.0,Active,http://www.redfin.com/IL/Chicago/1449-W-Lexington-St-60607/unit-UC/home/14089372,MRED,10600111,41.8723394,-87.6637968,5.0,33 mins,"WALKING(7 MINS), BLUE LINE(7 mins), WALKING(1 MIN), BUS22(8 mins), WALKING(6 MINS)",14.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2082108583.0,http://www.zillow.com/homedetails/1449-W-Lexington-St-UC-Chicago-IL-60607/2082108583_zpid/,,,10267.45,,,468447.0,01/26/2020,-14476.0,491869.0,445025.0
PAST SALE,Townhouse,1152 W Polk St,Chicago,IL,60607,535000,3.0,2.5,Near West Side,2508.0,1362.0,1990.0,2750,213.0,285.0,Sold,http://www.redfin.com/IL/Chicago/1152-W-Polk-St-60607/home/14088876,MRED,7774745,41.872,-87.656231,5.0,32 mins,"WALKING(1 MIN), BUS60(16 mins), WALKING(1 MIN), BUS147(7 mins), WALKING(3 MINS)",5.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3874268.0,http://www.zillow.com/homedetails/1152-W-Polk-St-Chicago-IL-60607/3874268_zpid/,2017.0,55820.0,11325.95,06/25/2012,535000.0,732978.0,01/26/2020,-27926.0,769627.0,696329.0
MLS Listing,Townhouse,4240 N Kenmore Ave Unit 5N,Chicago,IL,60613,389000,2.0,2.0,Uptown,1970.0,,1997.0,60,197.0,100.0,Contingent,http://www.redfin.com/IL/Chicago/4240-N-Kenmore-Ave-60613/unit-5N/home/13393285,MRED,10568329,41.9598159,-87.656785,3.0,32 mins,"WALKING(4 MINS), BUS151(27 mins), WALKING(1 MIN)",5.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS","ALDI, JEWEL",2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2099168256.0,http://www.zillow.com/homedetails/4240-N-Kenmore-Ave-APT-5N-Chicago-IL-60613/2099168256_zpid/,2017.0,32583.0,8235.130000000001,06/03/2016,375000.0,376929.0,01/26/2020,-1914.0,395775.0,358083.0
PAST SALE,Townhouse,5320 N Kenmore Ave Unit M,Chicago,IL,60640,404400,3.0,2.0,Edgewater,1900.0,977.0,1996.0,16,213.0,204.0,Sold,http://www.redfin.com/IL/Chicago/5320-N-Kenmore-Ave-60640/unit-M/home/13399393,MRED,10545078,41.9789715,-87.6571219,3.0,16 mins,"WALKING(3 MINS), BUS147(12 mins), WALKING(1 MIN)",4.0,"ALDI, JEWEL, MARIANO, WHOLEFOODS","JEWEL, MARIANO",2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3700899.0,http://www.zillow.com/homedetails/5320-N-Kenmore-Ave-UNIT-M-Chicago-IL-60640/3700899_zpid/,2017.0,33080.0,8561.148000000001,01/10/2020,404500.0,403495.0,01/26/2020,2009.0,431740.0,375250.0
PAST SALE,Townhouse,1315 S Plymouth Ct Unit G,Chicago,IL,60605,489000,2.0,2.0,Near South Side,,,1992.0,6,,90.0,Sold,http://www.redfin.com/IL/Chicago/1315-S-Plymouth-Ct-60605/unit-G/home/14084451,MRED,10560788,41.8655929,-87.628002,3.0,18 mins,"WALKING(7 MINS), RED LINE(8 mins), WALKING(4 MINS)",11.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS","JEWEL, TRADERJOE",2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2082210237.0,http://www.zillow.com/homedetails/1315-S-Plymouth-Ct-UNIT-G-Chicago-IL-60605/2082210237_zpid/,,,10352.13,01/02/2020,489000.0,488326.0,01/26/2020,2379.0,522509.0,454143.0
MLS Listing,Townhouse,2724 W Byron St,Chicago,IL,60618,410000,4.0,2.5,Irving Park,1530.0,1011.0,2008.0,72,268.0,350.0,Active,http://www.redfin.com/IL/Chicago/2724-W-Byron-St-60618/home/18925910,MRED,10557759,41.953482,-87.6967729,5.0,36 mins,"WALKING(1 MIN), BUS80(11 mins), WALKING(1 MIN), RED LINE(15 mins), WALKING(4 MINS)",6.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,87714640.0,http://www.zillow.com/homedetails/2724-W-Byron-St-Chicago-IL-60618/87714640_zpid/,2017.0,35070.0,8679.7,05/29/2015,370000.0,401808.0,01/26/2020,-2584.0,421898.0,381718.0
